company,overall,work-balance,culture,career,benefit,senior-mangemnet,helpful-count,status,dates
google,5,4,5,5,4,5,0,Current Employee ,2018
google,4,2,3,3,5,3,2094,Former Employee ,2013
google,5,5,4,5,5,4,949,Current Employee ,2014
google,5,2,5,5,4,5,498,Current Employee ,2015
google,5,5,5,5,5,5,49,Former Employee ,2018
google,5,4,4,4,5,4,1,Former Employee ,2018
google,5,5,4,4,5,4,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Former Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,5,4,5,4,4,3,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,5,5,5,5,5,5,1,Former Employee ,2018
google,5,5,5,5,4,4,1,Current Employee ,2018
google,5,4,5,3,5,5,0,Current Employee ,2018
google,5,4,5,5,5,4,2,Current Employee ,2018
google,5,5,5,5,5,5,1,Former Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,5,3,4,3,4,5,2,Current Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,5,4,5,4,5,5,0,Current Employee ,2018
google,5,3,5,4,5,3,0,Current Employee ,2018
google,5,5,5,5,5,5,3,Current Employee ,2018
google,5,4,5,5,5,5,0,Current Employee ,2018
google,3,4,5,5,5,5,0,Former Employee ,2018
google,5,5,5,5,5,5,0,Current Employee ,2018
google,4,5,5,4,4,4,0,Current Employee ,2018
google,5,3,4,4,5,4,1,Current Employee ,2018
google,5,5,5,5,5,5,1,Current Employee ,2018
google,4,5,4,3,4,3,0,Current Employee ,2018
google,4,4,3,3,4,3,0,Current Employee ,2018
google,3,2,3,5,5,3,0,Current Employee ,2018
google,5,3,5,5,5,4,0,Current Employee ,2018
google,5,4,4,5,5,3,2,Current Employee ,2018
google,3,3,2,3,4,1,0,Former Employee ,2018
google,5,5,3,5,4,5,0,Current Employee ,2018
google,5,5,5,4,4,4,0,Current Employee ,2018
google,5,4,4,5,5,2,0,Former Employee ,2018
google,4,4,4,4,4,3,0,Current Employee ,2018
google,4,2,4,4,5,4,0,Current Employee ,2018
google,3,2,1,2,5,2,8,Current Employee ,2018
google,5,5,5,5,5,5,1,Current Employee ,2018
google,5,5,5,5,4,4,2,Current Employee ,2018
